shape,fp16_ms,fp8_ms,speedup
FFN_gate [9216,2560],0.2329,0.1395,1.6694
FFN_up [9216,2560],0.234,0.1396,1.6761
FFN_down [2560,9216],0.234,0.1419,1.649
FullAttn_q [8192,2560],0.2132,0.1241,1.7179
FullAttn_k [1024,2560],0.0391,0.0312,1.2525
FullAttn_v [1024,2560],0.0406,0.0308,1.3188
FullAttn_o [2560,4096],0.1268,0.0677,1.8733
DeltaNet_qkv [8192,2560],0.2132,0.1245,1.7117
DeltaNet_z [4096,2560],0.1265,0.0687,1.8404
DeltaNet_out [2560,4096],0.1271,0.0698,1.8196
DeltaNet_a [32,2560],0.0092,0.0163,0.5649
DeltaNet_b [32,2560],0.01,0.0155,0.6403
