gen_tokens,mode,step_idx,median_ms,p95_ms,std_ms
16,fp16_eager,1,33.798293,34.695119,0.649037
16,fp16_eager,2,34.088259,36.455179,1.172273
16,fp16_eager,3,34.891304,38.238079,2.116776
16,fp16_eager,4,34.69846,40.159791,2.793386
16,fp16_eager,5,33.961102,34.402667,0.725737
16,fp16_eager,6,34.889417,38.546569,1.976278
16,fp16_eager,7,34.603806,37.040018,1.463507
16,fp16_eager,8,35.315767,35.524776,1.107027
16,fp16_eager,9,34.876739,37.23688,1.214709
16,fp16_eager,10,35.691355,37.745047,1.514188
16,fp16_eager,11,34.419486,40.859707,3.296898
16,fp16_eager,12,34.77306,35.309398,1.010298
16,fp16_eager,13,35.303849,36.195736,1.221027
16,fp16_eager,14,34.177577,36.33483,1.587844
16,fp16_eager,15,36.481154,38.613697,2.249021
16,fp16_static_compiled_attn_only,1,33.799011,40.20285,3.082153
16,fp16_static_compiled_attn_only,2,32.606331,34.540201,1.177552
16,fp16_static_compiled_attn_only,3,34.191642,39.477532,2.983166
16,fp16_static_compiled_attn_only,4,32.647928,33.420962,0.59481
16,fp16_static_compiled_attn_only,5,33.574136,36.638201,1.661625
16,fp16_static_compiled_attn_only,6,32.843377,34.700164,1.195757
16,fp16_static_compiled_attn_only,7,33.088528,37.003034,2.272217
16,fp16_static_compiled_attn_only,8,33.564758,34.144329,0.433075
16,fp16_static_compiled_attn_only,9,31.548041,33.186045,1.079735
16,fp16_static_compiled_attn_only,10,33.033535,34.168887,0.680827
16,fp16_static_compiled_attn_only,11,32.917485,34.1777,0.631495
16,fp16_static_compiled_attn_only,12,32.164453,32.838965,0.395095
16,fp16_static_compiled_attn_only,13,31.312702,33.9363,1.288741
16,fp16_static_compiled_attn_only,14,32.869851,33.88856,0.917802
16,fp16_static_compiled_attn_only,15,33.493577,33.930931,0.834409
16,fp16_static_compiled_attn_only_deltanet,1,32.347248,40.034957,3.983889
16,fp16_static_compiled_attn_only_deltanet,2,30.973461,34.263822,1.642046
16,fp16_static_compiled_attn_only_deltanet,3,30.834828,32.576282,0.872771
16,fp16_static_compiled_attn_only_deltanet,4,31.023887,32.714128,0.83563
16,fp16_static_compiled_attn_only_deltanet,5,31.558952,31.878117,0.74307
16,fp16_static_compiled_attn_only_deltanet,6,31.409701,36.684197,2.925726
16,fp16_static_compiled_attn_only_deltanet,7,30.862002,32.694967,1.300113
16,fp16_static_compiled_attn_only_deltanet,8,30.286681,31.814742,0.965174
16,fp16_static_compiled_attn_only_deltanet,9,31.064892,34.546133,1.813361
16,fp16_static_compiled_attn_only_deltanet,10,30.972935,31.752352,0.769408
16,fp16_static_compiled_attn_only_deltanet,11,31.441973,31.949463,0.673058
16,fp16_static_compiled_attn_only_deltanet,12,30.372754,32.984921,1.365195
16,fp16_static_compiled_attn_only_deltanet,13,30.80391,31.039427,0.165645
16,fp16_static_compiled_attn_only_deltanet,14,32.993444,33.895391,1.555344
16,fp16_static_compiled_attn_only_deltanet,15,31.624599,35.00494,1.892385
32,fp16_eager,1,35.231037,36.363779,0.607509
32,fp16_eager,2,35.64155,39.584901,1.986342
32,fp16_eager,3,34.686109,36.431753,1.153497
32,fp16_eager,4,35.627841,37.482106,1.297259
32,fp16_eager,5,35.992112,39.665501,2.041823
32,fp16_eager,6,35.011423,46.318144,5.478033
32,fp16_eager,7,35.654217,40.232438,2.723128
32,fp16_eager,8,35.279354,39.349173,2.160972
32,fp16_eager,9,35.115479,38.04879,1.443616
32,fp16_eager,10,35.086296,38.10837,1.541063
32,fp16_eager,11,34.906988,37.572334,1.63353
32,fp16_eager,12,34.966736,36.636834,1.26555
32,fp16_eager,13,35.381235,38.471169,1.882271
32,fp16_eager,14,36.071683,36.249312,0.550972
32,fp16_eager,15,34.960115,38.661772,2.001593
32,fp16_eager,16,34.33279,36.099101,0.82526
32,fp16_eager,17,35.042466,38.620315,2.077803
32,fp16_eager,18,35.153318,35.501941,0.312269
32,fp16_eager,19,36.442815,36.921727,1.160387
32,fp16_eager,20,34.637234,35.403152,0.475711
32,fp16_eager,21,34.88948,38.817913,2.061328
32,fp16_eager,22,35.342707,35.930041,0.517909
32,fp16_eager,23,34.992467,36.864485,1.314438
32,fp16_eager,24,34.690841,45.447206,5.306907
32,fp16_eager,25,34.204126,34.884819,0.666055
32,fp16_eager,26,35.632057,37.380597,1.019081
32,fp16_eager,27,34.809024,35.797951,0.993476
32,fp16_eager,28,33.903972,36.664912,1.470812
32,fp16_eager,29,35.296928,37.352924,1.587324
32,fp16_eager,30,34.954791,38.480808,1.86171
32,fp16_eager,31,34.243995,35.269908,0.54343
32,fp16_static_compiled_attn_only,1,37.146522,45.233754,4.076967
32,fp16_static_compiled_attn_only,2,37.869394,38.245535,0.469778
32,fp16_static_compiled_attn_only,3,37.481965,44.968906,3.658808
32,fp16_static_compiled_attn_only,4,36.646906,42.224284,3.100426
32,fp16_static_compiled_attn_only,5,39.327646,47.608446,4.877161
32,fp16_static_compiled_attn_only,6,37.436371,38.649045,0.781254
32,fp16_static_compiled_attn_only,7,37.687818,37.965799,0.671823
32,fp16_static_compiled_attn_only,8,37.320377,39.663565,1.592725
32,fp16_static_compiled_attn_only,9,36.340505,38.164539,1.024648
32,fp16_static_compiled_attn_only,10,36.766808,37.691594,0.845288
32,fp16_static_compiled_attn_only,11,36.858152,42.71027,3.33196
32,fp16_static_compiled_attn_only,12,36.305947,39.026812,1.313455
32,fp16_static_compiled_attn_only,13,36.15024,37.237655,0.843587
32,fp16_static_compiled_attn_only,14,36.237146,38.390863,1.345323
32,fp16_static_compiled_attn_only,15,36.707192,38.593469,1.224657
32,fp16_static_compiled_attn_only,16,36.542093,40.012778,1.913322
32,fp16_static_compiled_attn_only,17,38.302999,47.550977,5.205871
32,fp16_static_compiled_attn_only,18,37.216743,40.242201,1.875462
32,fp16_static_compiled_attn_only,19,36.832128,38.884898,1.295664
32,fp16_static_compiled_attn_only,20,36.773578,37.365205,0.72149
32,fp16_static_compiled_attn_only,21,37.66967,39.357717,1.134888
32,fp16_static_compiled_attn_only,22,37.512918,41.370952,2.096479
32,fp16_static_compiled_attn_only,23,37.503828,40.414094,1.804332
32,fp16_static_compiled_attn_only,24,37.574792,39.73813,1.6207
32,fp16_static_compiled_attn_only,25,39.509663,52.615062,7.298019
32,fp16_static_compiled_attn_only,26,36.629103,44.623236,3.703256
32,fp16_static_compiled_attn_only,27,38.311307,39.176199,1.430601
32,fp16_static_compiled_attn_only,28,37.312203,40.188627,1.587191
32,fp16_static_compiled_attn_only,29,37.719598,39.908874,1.34491
32,fp16_static_compiled_attn_only,30,36.05132,36.886691,0.608989
32,fp16_static_compiled_attn_only,31,36.357226,37.963113,0.957763
32,fp16_static_compiled_attn_only_deltanet,1,35.3452,38.76369,1.710271
32,fp16_static_compiled_attn_only_deltanet,2,36.328582,37.412241,1.219047
32,fp16_static_compiled_attn_only_deltanet,3,36.513983,38.993124,2.204429
32,fp16_static_compiled_attn_only_deltanet,4,34.784317,45.427555,5.580294
32,fp16_static_compiled_attn_only_deltanet,5,37.335072,37.515646,1.550001
32,fp16_static_compiled_attn_only_deltanet,6,34.661229,35.596475,1.070802
32,fp16_static_compiled_attn_only_deltanet,7,33.961536,36.101805,1.102971
32,fp16_static_compiled_attn_only_deltanet,8,35.297118,35.626536,0.423531
32,fp16_static_compiled_attn_only_deltanet,9,38.484855,40.773807,2.146142
32,fp16_static_compiled_attn_only_deltanet,10,36.22806,37.620736,0.802684
32,fp16_static_compiled_attn_only_deltanet,11,34.294571,43.034176,3.989053
32,fp16_static_compiled_attn_only_deltanet,12,34.992735,44.42821,4.362245
32,fp16_static_compiled_attn_only_deltanet,13,35.154182,40.471976,2.714113
32,fp16_static_compiled_attn_only_deltanet,14,36.2116,38.298345,1.386482
32,fp16_static_compiled_attn_only_deltanet,15,34.901134,37.135293,1.254635
32,fp16_static_compiled_attn_only_deltanet,16,35.559861,36.193027,1.165355
32,fp16_static_compiled_attn_only_deltanet,17,36.304204,39.36882,2.096218
32,fp16_static_compiled_attn_only_deltanet,18,36.753821,38.20712,1.116509
32,fp16_static_compiled_attn_only_deltanet,19,38.680886,42.985468,3.296571
32,fp16_static_compiled_attn_only_deltanet,20,37.199334,48.320245,6.026884
32,fp16_static_compiled_attn_only_deltanet,21,36.038213,43.792882,3.875779
32,fp16_static_compiled_attn_only_deltanet,22,35.716919,39.36347,1.979221
32,fp16_static_compiled_attn_only_deltanet,23,36.410106,42.535026,3.691244
32,fp16_static_compiled_attn_only_deltanet,24,38.460405,40.188459,1.885373
32,fp16_static_compiled_attn_only_deltanet,25,38.128731,42.025751,2.377649
32,fp16_static_compiled_attn_only_deltanet,26,36.868535,40.836472,2.400748
32,fp16_static_compiled_attn_only_deltanet,27,34.44464,40.248412,2.800237
32,fp16_static_compiled_attn_only_deltanet,28,34.552655,35.746679,1.064141
32,fp16_static_compiled_attn_only_deltanet,29,35.324776,39.434753,2.249965
32,fp16_static_compiled_attn_only_deltanet,30,34.334313,37.146883,1.470287
32,fp16_static_compiled_attn_only_deltanet,31,34.813715,38.128571,1.782202
64,fp16_eager,1,34.643991,36.721448,1.155291
64,fp16_eager,2,34.650002,35.297562,0.515152
64,fp16_eager,3,33.894175,34.494116,0.387687
64,fp16_eager,4,33.195407,34.958166,0.870275
64,fp16_eager,5,33.988166,35.586779,0.912822
64,fp16_eager,6,34.469014,35.843905,0.771831
64,fp16_eager,7,34.612508,34.846209,0.568929
64,fp16_eager,8,34.401204,35.486238,0.799329
64,fp16_eager,9,34.979252,35.976398,0.854229
64,fp16_eager,10,33.917756,34.538452,0.614674
64,fp16_eager,11,33.353423,36.19846,1.501221
64,fp16_eager,12,34.326556,35.014843,0.856007
64,fp16_eager,13,33.853617,35.472148,1.002862
64,fp16_eager,14,33.791355,35.151226,0.764174
64,fp16_eager,15,33.25796,34.153389,0.449596
64,fp16_eager,16,33.624883,34.627492,0.557496
64,fp16_eager,17,33.695065,39.795471,3.114809
64,fp16_eager,18,34.381924,35.646405,0.879454
64,fp16_eager,19,34.546572,34.715864,0.812356
64,fp16_eager,20,33.49671,39.568708,3.047999
64,fp16_eager,21,34.386104,34.582909,0.463825
64,fp16_eager,22,33.825324,36.170221,1.42656
64,fp16_eager,23,34.245296,36.822172,1.32842
64,fp16_eager,24,33.759625,34.927825,0.634159
64,fp16_eager,25,34.297107,35.428109,0.97551
64,fp16_eager,26,33.615548,35.935565,1.275881
64,fp16_eager,27,34.31534,34.395466,0.200714
64,fp16_eager,28,33.697794,36.321315,1.262667
64,fp16_eager,29,34.080599,35.762268,1.101822
64,fp16_eager,30,33.433602,34.591698,0.78704
64,fp16_eager,31,34.839043,36.282101,0.919006
64,fp16_eager,32,34.655068,36.869714,1.420999
64,fp16_eager,33,34.354545,35.798466,1.00917
64,fp16_eager,34,33.44726,35.675761,1.132689
64,fp16_eager,35,34.317896,35.55145,0.830277
64,fp16_eager,36,35.450328,37.740916,1.895161
64,fp16_eager,37,34.725709,36.100047,1.206437
64,fp16_eager,38,34.256154,35.885376,0.985817
64,fp16_eager,39,33.787126,34.665132,0.60037
64,fp16_eager,40,33.911082,35.361134,0.832068
64,fp16_eager,41,35.016314,41.457624,3.262211
64,fp16_eager,42,34.395768,37.041764,1.486011
64,fp16_eager,43,33.986411,38.600631,2.23945
64,fp16_eager,44,34.80582,36.471608,1.05016
64,fp16_eager,45,34.100626,34.225022,0.671095
64,fp16_eager,46,34.126576,35.18659,0.766188
64,fp16_eager,47,34.728993,36.289116,1.118556
64,fp16_eager,48,34.065831,35.155426,0.714932
64,fp16_eager,49,34.758671,38.482983,1.995606
64,fp16_eager,50,33.641535,33.750528,0.132835
64,fp16_eager,51,34.025005,34.295499,0.305077
64,fp16_eager,52,34.277309,34.706312,0.411973
64,fp16_eager,53,33.919,34.684319,0.544724
64,fp16_eager,54,34.041354,34.612588,0.566984
64,fp16_eager,55,36.696371,43.933918,4.198873
64,fp16_eager,56,34.283708,36.35548,1.067594
64,fp16_eager,57,33.328558,35.036524,0.811121
64,fp16_eager,58,34.342252,35.768774,0.997473
64,fp16_eager,59,34.850405,36.856366,1.322654
64,fp16_eager,60,34.47566,36.321554,1.044613
64,fp16_eager,61,34.29268,35.418358,0.970259
64,fp16_eager,62,34.256163,34.749357,0.773528
64,fp16_eager,63,35.177408,36.629108,1.150806
64,fp16_static_compiled_attn_only,1,38.76206,39.177941,0.633919
64,fp16_static_compiled_attn_only,2,37.230651,39.978109,1.589463
64,fp16_static_compiled_attn_only,3,37.630091,38.044879,1.461367
64,fp16_static_compiled_attn_only,4,36.202407,38.993477,1.45189
64,fp16_static_compiled_attn_only,5,36.564262,38.977274,1.484298
64,fp16_static_compiled_attn_only,6,37.127936,40.191785,2.043735
64,fp16_static_compiled_attn_only,7,37.316901,37.820794,0.895881
64,fp16_static_compiled_attn_only,8,35.824762,37.301309,0.976523
64,fp16_static_compiled_attn_only,9,36.040109,39.52409,1.885509
64,fp16_static_compiled_attn_only,10,37.549314,38.800257,1.523521
64,fp16_static_compiled_attn_only,11,36.515739,37.816918,0.906055
64,fp16_static_compiled_attn_only,12,35.935155,36.969859,0.72486
64,fp16_static_compiled_attn_only,13,38.350927,39.498172,1.627338
64,fp16_static_compiled_attn_only,14,37.349267,39.038259,1.289812
64,fp16_static_compiled_attn_only,15,36.125696,40.148062,2.109829
64,fp16_static_compiled_attn_only,16,38.264467,42.820556,2.63897
64,fp16_static_compiled_attn_only,17,37.539245,38.539773,1.340458
64,fp16_static_compiled_attn_only,18,36.316459,38.41193,1.241221
64,fp16_static_compiled_attn_only,19,36.724844,37.925603,1.16673
64,fp16_static_compiled_attn_only,20,37.495443,38.797553,1.321292
64,fp16_static_compiled_attn_only,21,36.666593,37.138315,0.663229
64,fp16_static_compiled_attn_only,22,36.272919,37.151251,0.827868
64,fp16_static_compiled_attn_only,23,35.530088,41.458898,2.695839
64,fp16_static_compiled_attn_only,24,37.187052,38.539243,1.004478
64,fp16_static_compiled_attn_only,25,36.176983,38.325312,1.266908
64,fp16_static_compiled_attn_only,26,36.528259,39.767171,1.831657
64,fp16_static_compiled_attn_only,27,35.78726,36.968022,0.675853
64,fp16_static_compiled_attn_only,28,36.142174,39.612511,1.600261
64,fp16_static_compiled_attn_only,29,37.195635,38.298202,0.925316
64,fp16_static_compiled_attn_only,30,36.081021,36.337009,0.539217
64,fp16_static_compiled_attn_only,31,36.811371,37.59681,1.207707
