gen_tokens,mode,same_generation_vs_fp16_eager,ttft_median_ms,ttft_p95_ms,decode_mean_median_ms,decode_mean_p95_ms,end_to_end_median_ms,end_to_end_p95_ms,step_jitter_all_median_std_ms,step_jitter_all_p95_std_ms,step_jitter_post1_median_std_ms,step_jitter_post1_p95_std_ms,step_jitter_all_median_cv,step_jitter_post1_median_cv
16,fp16_eager,True,49.550132,59.887033,35.100222,35.729646,575.119549,595.118445,1.533618,2.240628,1.576781,2.241134,0.043964,0.04514
16,fp16_static_compiled_attn_only,True,55.449667,59.22836,33.04554,34.119064,553.475891,570.39156,0.903969,2.513988,0.924963,2.291738,0.027704,0.028069
16,fp16_static_compiled_attn_only_deltanet,True,55.914955,59.226125,31.869568,32.434347,533.958475,545.74133,1.496551,2.723509,1.54343,1.948179,0.046959,0.048482
32,fp16_eager,True,51.522009,55.303272,35.929022,36.30012,1164.636874,1180.342125,2.004641,2.621975,2.037651,2.660993,0.055137,0.056051
32,fp16_static_compiled_attn_only,True,52.859386,55.969277,37.523335,38.356322,1216.082762,1241.074651,2.243984,3.978453,2.245953,3.927409,0.058553,0.058496
32,fp16_static_compiled_attn_only_deltanet,True,54.302298,71.31367,35.698413,38.363738,1170.61247,1247.348044,2.344325,3.568354,2.380518,3.608274,0.065683,0.06666
64,fp16_eager,True,49.511313,51.277275,34.466067,34.56171,2222.790001,2226.721375,1.376819,1.871148,1.387617,1.861077,0.039947,0.040256
64,fp16_static_compiled_attn_only,True,52.638152,63.352465,37.057439,37.983728,2385.537278,2448.367962,1.897369,2.547814,1.892843,2.562824,0.051813,0.051738
64,fp16_static_compiled_attn_only_deltanet,True,54.729212,62.516668,35.024306,35.234256,2265.259731,2276.864457,1.757695,3.000791,1.771321,2.814038,0.050753,0.051154
128,fp16_eager,True,49.963075,52.036088,35.515755,36.02899,4560.29037,4625.74486,1.667848,2.753278,1.671641,2.762455,0.047281,0.047377
128,fp16_static_compiled_attn_only,True,56.206539,57.544708,37.951083,38.342408,4876.292455,4926.459701,1.916675,2.140395,1.71894,2.130538,0.049968,0.045305
128,fp16_static_compiled_attn_only_deltanet,True,53.473632,56.550487,35.091418,35.272998,4510.083706,4535.247699,1.664657,2.031073,1.6167,2.001267,0.047438,0.04612
256,fp16_eager,True,56.828013,58.734496,39.006214,41.588736,10004.983009,10661.559617,2.232565,3.219129,2.232982,3.223579,0.060709,0.060707
256,fp16_static_compiled_attn_only,True,59.718358,64.541275,40.350095,43.377157,10345.360209,11125.716238,2.693151,5.740195,2.698063,5.737427,0.066745,0.066862
256,fp16_static_compiled_attn_only_deltanet,True,55.57359,56.879001,37.344174,37.846771,9577.527746,9706.013949,2.219479,3.131436,2.221991,3.134437,0.059433,0.059509
