name,layer_index,layer_type,sub_type,proj_name,submodule_name,out_features,in_features,shape,params,params_M,priority
model.language_model.layers.0.linear_attn.in_proj_a,0,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.0.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.0.linear_attn.in_proj_b,0,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.0.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.0.linear_attn.in_proj_qkv,0,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.0.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.0.linear_attn.in_proj_z,0,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.0.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.0.linear_attn.out_proj,0,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.0.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.0.mlp.down_proj,0,linear_attention,FFN,down_proj,model.language_model.layers.0.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.0.mlp.gate_proj,0,linear_attention,FFN,gate_proj,model.language_model.layers.0.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.0.mlp.up_proj,0,linear_attention,FFN,up_proj,model.language_model.layers.0.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.1.linear_attn.in_proj_a,1,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.1.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.1.linear_attn.in_proj_b,1,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.1.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.1.linear_attn.in_proj_qkv,1,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.1.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.1.linear_attn.in_proj_z,1,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.1.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.1.linear_attn.out_proj,1,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.1.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.1.mlp.down_proj,1,linear_attention,FFN,down_proj,model.language_model.layers.1.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.1.mlp.gate_proj,1,linear_attention,FFN,gate_proj,model.language_model.layers.1.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.1.mlp.up_proj,1,linear_attention,FFN,up_proj,model.language_model.layers.1.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.2.linear_attn.in_proj_a,2,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.2.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.2.linear_attn.in_proj_b,2,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.2.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.2.linear_attn.in_proj_qkv,2,linear_attention,DeltaNet_Attn,in_proj_qkv,model.language_model.layers.2.linear_attn.in_proj_qkv,8192,2560,"[8192, 2560]",20971520,20.97152,P2-暂缓
model.language_model.layers.2.linear_attn.in_proj_z,2,linear_attention,DeltaNet_Attn,in_proj_z,model.language_model.layers.2.linear_attn.in_proj_z,4096,2560,"[4096, 2560]",10485760,10.48576,P2-暂缓
model.language_model.layers.2.linear_attn.out_proj,2,linear_attention,DeltaNet_Attn,out_proj,model.language_model.layers.2.linear_attn.out_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P2-暂缓
model.language_model.layers.2.mlp.down_proj,2,linear_attention,FFN,down_proj,model.language_model.layers.2.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.2.mlp.gate_proj,2,linear_attention,FFN,gate_proj,model.language_model.layers.2.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.2.mlp.up_proj,2,linear_attention,FFN,up_proj,model.language_model.layers.2.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.3.mlp.down_proj,3,full_attention,FFN,down_proj,model.language_model.layers.3.mlp.down_proj,2560,9216,"[2560, 9216]",23592960,23.59296,P0-优先
model.language_model.layers.3.mlp.gate_proj,3,full_attention,FFN,gate_proj,model.language_model.layers.3.mlp.gate_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.3.mlp.up_proj,3,full_attention,FFN,up_proj,model.language_model.layers.3.mlp.up_proj,9216,2560,"[9216, 2560]",23592960,23.59296,P0-优先
model.language_model.layers.3.self_attn.k_proj,3,full_attention,FullAttn,k_proj,model.language_model.layers.3.self_attn.k_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.3.self_attn.o_proj,3,full_attention,FullAttn,o_proj,model.language_model.layers.3.self_attn.o_proj,2560,4096,"[2560, 4096]",10485760,10.48576,P1-次优
model.language_model.layers.3.self_attn.q_proj,3,full_attention,FullAttn,q_proj,model.language_model.layers.3.self_attn.q_proj,8192,2560,"[8192, 2560]",20971520,20.97152,P1-次优
model.language_model.layers.3.self_attn.v_proj,3,full_attention,FullAttn,v_proj,model.language_model.layers.3.self_attn.v_proj,1024,2560,"[1024, 2560]",2621440,2.62144,P1-次优
model.language_model.layers.4.linear_attn.in_proj_a,4,linear_attention,DeltaNet_Attn,in_proj_a,model.language_model.layers.4.linear_attn.in_proj_a,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
model.language_model.layers.4.linear_attn.in_proj_b,4,linear_attention,DeltaNet_Attn,in_proj_b,model.language_model.layers.4.linear_attn.in_proj_b,32,2560,"[32, 2560]",81920,0.08192,P2-暂缓
